Distance: 135.70556640625, Keypoint 1 idx: 9189, Keypoint 2 idx: 9990
Distance: 132.981201171875, Keypoint 1 idx: 12786, Keypoint 2 idx: 14348
Distance: 160.14369201660156, Keypoint 1 idx: 2474, Keypoint 2 idx: 2690
Distance: 131.89768981933594, Keypoint 1 idx: 3575, Keypoint 2 idx: 3896
Distance: 81.24653625488281, Keypoint 1 idx: 10417, Keypoint 2 idx: 11371
Distance: 121.29715728759766, Keypoint 1 idx: 6255, Keypoint 2 idx: 6789
Distance: 198.2725372314453, Keypoint 1 idx: 4662, Keypoint 2 idx: 5098
Distance: 113.78927612304688, Keypoint 1 idx: 5422, Keypoint 2 idx: 5912
Distance: 80.79603576660156, Keypoint 1 idx: 7383, Keypoint 2 idx: 7986
Distance: 194.26785278320312, Keypoint 1 idx: 6208, Keypoint 2 idx: 6742
Distance: 87.9772720336914, Keypoint 1 idx: 6137, Keypoint 2 idx: 6668
Distance: 116.23682403564453, Keypoint 1 idx: 11444, Keypoint 2 idx: 14312
Distance: 128.12493896484375, Keypoint 1 idx: 13842, Keypoint 2 idx: 15474
Distance: 211.6199493408203, Keypoint 1 idx: 10194, Keypoint 2 idx: 11125
Distance: 99.95498657226562, Keypoint 1 idx: 10238, Keypoint 2 idx: 11175
Distance: 114.7998275756836, Keypoint 1 idx: 6831, Keypoint 2 idx: 7393
Distance: 190.13153076171875, Keypoint 1 idx: 5145, Keypoint 2 idx: 5579
Distance: 181.30361938476562, Keypoint 1 idx: 5737, Keypoint 2 idx: 6247
Distance: 162.10182189941406, Keypoint 1 idx: 11707, Keypoint 2 idx: 12895
Distance: 117.29876708984375, Keypoint 1 idx: 10758, Keypoint 2 idx: 11772
Distance: 100.02499389648438, Keypoint 1 idx: 7285, Keypoint 2 idx: 7858
Distance: 154.44740295410156, Keypoint 1 idx: 11708, Keypoint 2 idx: 12905
Distance: 115.29527282714844, Keypoint 1 idx: 4206, Keypoint 2 idx: 4548
Distance: 82.60145568847656, Keypoint 1 idx: 7415, Keypoint 2 idx: 8017
Distance: 84.9941177368164, Keypoint 1 idx: 5182, Keypoint 2 idx: 5638
Distance: 166.5893096923828, Keypoint 1 idx: 9331, Keypoint 2 idx: 10139
Distance: 162.8803253173828, Keypoint 1 idx: 1399, Keypoint 2 idx: 1555
Distance: 160.11245727539062, Keypoint 1 idx: 5943, Keypoint 2 idx: 6467
Distance: 160.29348754882812, Keypoint 1 idx: 9447, Keypoint 2 idx: 10276
Distance: 172.29335021972656, Keypoint 1 idx: 11736, Keypoint 2 idx: 12932
Distance: 95.89056396484375, Keypoint 1 idx: 2164, Keypoint 2 idx: 2395
Distance: 156.58224487304688, Keypoint 1 idx: 14181, Keypoint 2 idx: 15842
Distance: 150.9171905517578, Keypoint 1 idx: 4221, Keypoint 2 idx: 4598
Distance: 75.14652252197266, Keypoint 1 idx: 5753, Keypoint 2 idx: 6269
Distance: 189.29342651367188, Keypoint 1 idx: 8614, Keypoint 2 idx: 9360
Distance: 57.017539978027344, Keypoint 1 idx: 5297, Keypoint 2 idx: 5785
Distance: 42.19004440307617, Keypoint 1 idx: 9654, Keypoint 2 idx: 10508
Distance: 166.3640594482422, Keypoint 1 idx: 8254, Keypoint 2 idx: 8990
Distance: 66.65583038330078, Keypoint 1 idx: 6826, Keypoint 2 idx: 7382
Distance: 78.65748596191406, Keypoint 1 idx: 6868, Keypoint 2 idx: 7431
Distance: 129.59165954589844, Keypoint 1 idx: 2404, Keypoint 2 idx: 2631
Distance: 56.11595153808594, Keypoint 1 idx: 394, Keypoint 2 idx: 472
Distance: 104.72344207763672, Keypoint 1 idx: 1808, Keypoint 2 idx: 1982
Distance: 146.81280517578125, Keypoint 1 idx: 10422, Keypoint 2 idx: 11385
Distance: 74.67931365966797, Keypoint 1 idx: 6506, Keypoint 2 idx: 7228
Distance: 35.2845573425293, Keypoint 1 idx: 2136, Keypoint 2 idx: 2361
Distance: 193.287353515625, Keypoint 1 idx: 11585, Keypoint 2 idx: 12716
Distance: 180.9171142578125, Keypoint 1 idx: 2231, Keypoint 2 idx: 2470
Distance: 134.2981719970703, Keypoint 1 idx: 3540, Keypoint 2 idx: 3935
Distance: 143.96875, Keypoint 1 idx: 13869, Keypoint 2 idx: 15507
